title,paragraph,क्रिडा,क्रिकेट,आयपीएल,टी-20,फुटबॉल,कबड्डी,गुन्हा,खून,दरोडा,सायबर क्राइम, बलात्कार,राजकारण,भाजपा,शिवसेना,काँग्रेस,जागतिक राजकारण,खून,युक्रेन विरुद्ध रशिया युद्ध,आंदोलन,हवामान,पावसाळी,उन्हाळा,हिवाळा,मनोरंजन,"मराठी सिनेमा
",बॉलीवूड,हॉलीवूड,"सेलिब्रिटी",टेलिव्हिजन,चित्रपट
"आयपीएल फायनलपूर्वी संजू सॅमसनने खेळली मोठी खेळी, राजस्थानच्या विजयासाठी खास माइंड गेम"," आयपीएलची फायनल सुरु होण्यापूर्वी राजस्थानचा कर्णधार संजू सॅमसनने एक मोठी खेळी केली आहे. या फायनलपूर्वी संजूने असा एक माइंड गेम केला आहे की, राजस्थानचा संघ आता पेटून उठणार आहे.
फायनल सुरु होण्यापूर्वी संजू सॅमसनने नेमकं केलं तरी काय, पाहा...
आयपीएलच्या पहिल्या हंगामाचे जेतेपद राजस्थानने पटकावले होते. त्यानंतर आता थेट १४ वर्षांनी त्यांना जेतेपद पटकावण्याची संधी मिळाली आहे. ही संधी संजू नक्कीच सोडणार नाही. त्यामुळे संजूने यावेळी एक मोठा माइंड गेम खेळल्याचे पुढे आले आहे. संजूने सामना सुरु होण्यापूर्वी आपल्या संघातील खेळाडूंना एक खास गोष्ट सांगितली आहे. ही एक गोष्ट संघाच्या विजयासाठी प्रेरणा नक्कीच ठरू शकते.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"सामना सुरु होण्यापूर्वीच राजस्थानसाठी आली गूड न्यूज, पाहा नेमकं घडलं तरी काय..."," राजस्थान रॉयल्ससाठी आज सर्वात महत्वाचा सुरु होणार आहे. पण हा सामना सुरु होण्यापूर्वीच राजस्थानसाठी एक आनंदाची बातमी आली आहे.
सामन्यापूर्वी नेमकं घडलं तरी काय, जाणून घ्या...
राजस्थानच्या संघासाठी आजचा सामना सर्वात महत्वाचा असेल. कारण यापूर्वीच्या सामन्यात राजस्थआनला गुजरातकडूनन पराभवाचा धक्का बसला होता. पण पराभवानंतरही त्यांना अंतिम फेरीत पोहोचण्याची नामी संधी आहे. पण आता हा महत्वाचा सामना सुरु होण्यापूर्वी राजस्थानसाठी आता एक आनंदाची बातमी आली आहे. या सामन्यात खेळपट्टी कशी असेल, हे सर्वात महत्वाचे समजले जात आहे. या खेळपट्टीवर कोणत्याही भेगा नाहीत, त्यामुळे दुसऱ्या डावात फलंदाजी करणाऱ्या संघाला मोठी फटकेबाजी करता येऊ शकते. त्याचबरोबर संजू सॅमसन हा सातत्याने टॉस हरत असल्याचे समोर येत होते.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"गुजरातचा राजस्थानवर थरारक विजय, अंतिम फेरीत पटकावले स्थान"," सलग तीन षटकारांसह गुजरातचा राजस्थानवर विजय
जोस बटलरच्या ८९ धावांच्या खेळीच्या जोरावर राजस्थानने गुजरातपुढे १८९ धावांचे आव्हान ठेवले होते. या आव्हानाचा पाठलाग करताना गुजरातच्या डेव्हिड मिलरने दमदार अर्धशतक झळकावले, तर कर्णधार हार्दिक पंड्याची त्याला चांगली साथ मिळाली. अखेरच्या षटकात १६ धावांची गरज असताना मिलरने सलग तीन षटकार लगावले आणि संघाला सात विकेट्स राखून विजय मिळवून देत थेट अंतिम फेरीत पोहोचवले.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"गुजरातचा संघ आयपीएलच्या फायनलमध्ये दाखल, राजस्थानवर अखेरच्या षटकात थरारक विजय", डेव्हिड मिलरच्या धडाकेबाज अर्धशतकाच्या जोरावर गुजरातने आयपीएलच्या फायनलमध्ये दिमाखात प्रवेश केला. मिलरने यावेळी ३८ चेंडूंत तीन चौकार आणि पाच षटकारांच्या जोरावर नाबाद ६८ धावांची खेळी साकारली आणि गुजरातला सात विकेट्स राखून विजय मिळवून दिला. या विजयासह गुजरातचा संघ थेट अंतिम फेरीत दाखल झाला आहे. हार्दिक पंड्याने यावेळी नाबाद ४० धावा करत मिलरला चांगली साथ दिली.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"महेंद्रसिंग धोनी फिनिशर बनण्यात ठरला अपयशी, चेन्नईला पंजाबकडून पराभवाचा धक्का","महेंद्रसिंग धोनीने मुंबई इंडियन्सविरुद्धच्या सामन्यात अखेरच्या चेंडूवर चौकार लगावत विजय साकारला होता. पण पंजाबविरुद्ध मात्र बेस्ट फिनिशर होण्यात धोनी अपयशी ठरला. शिखर धवनच्या नाबाद ८९ धावांच्या जोरावर पंजाबने चेन्नईला विजयासाठी १८८ धावांचे आव्हान दिले होते. या आव्हानाचा पाठलाग करताना चेन्नईची सुरुवात वाईट झाली. पण अंबाती रायुडूने ३९ चेंडूंमध्ये सात चौकार आणि सहा षटकारांच्या जोरावर ७८ धावांची तुफानी खेळी साकारली. पण मोक्याच्या क्षणी तो बाद झाला. त्यानंतर धोनीने अखेरच्या षटकात दमदार फटकेबाजी केली, पण त्याला चेन्नईला विजय मिळवून देता आला नाही. त्यामुळे चेन्नईला या सामन्यात ११ धावांनी पराभव पत्करावा लागला. ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"धोनीने नेतृ्त्व स्विकारताच चेन्नईचा विजय, हैदराबादवर मात"," महेंद्रसिगं धोनीने पुन्हा एकदा चेन्नईच्या संघाचे नेतृत्व स्विकारले आहे. त्यामुळे आजच्या हैदराबादविरुद्धच्या सामन्यात धोनी कोणती रणनिती आखणार, याची उत्सुकता सर्वांनाच असेल.
चेन्नईचा हैदराबादवर दमदार विजय
महेंद्रसिंग धोनीने पुन्हा कर्णधारपद स्विकारताच चेन्नईचा संघ पुन्हा विजयाच्या मार्गावर परतला. ऋतुराज गायकवाड आणि डेव्हॉन कॉनवे यांच्या दमदार फलंदाजीच्या जोरावर चेन्नईने हैदराबादपुढे २०३ धावांचे आव्हान ठेवले होते. या आव्हानाचा पाठलाग करतना हैदराबादला १८९ धावा करता आल्या आणि चेन्नईने १३ धावांनी विजय साकारला.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"चेन्नईने दिल्लीला धुळ चारत दिला केकेआरला मोठा धक्का, पाहा कसं"," चेन्नईसाठी ही अखेरची संधी असेल, तर दिल्लीसाठीही हा सामना महत्वाचा असेल. त्यामुळे आजच्या सामन्यात नेमका कोणता संघ विजयी ठरतो, याची उत्सुकता सर्वांनाच असेल.
चेन्नईने दिल्लीला धुळ चारत केकेआरला दिला धक्का
चेन्नईच्या संघाने आज दिल्ली कॅपिटल्सवर ९१ धावांनी दणदणीत विजय साकारला. एकिकडे चेन्नईने दिल्लीला सामन्यात धुळ चारली, तर दुसरीकडे गुणतालिकेत केकेआरच्या संघाला धक्का दिला. या सामन्यापूर्वी चेन्नईचा संघ नवव्या आणि केकेआरचा संघ आठव्या स्थानावर होता. विजयासह चेन्नईने रनरेटमध्ये सुधारणा केली. त्यामुळे दोन्ही संघांचे समान गुण असले तरी चेन्नईने आठवे स्थान पटकावत सर्वांनाच धक्का दिला आहे.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"चेन्नईचा शेवट पराभवानेच, राजस्थानने साकारला दमदार विजय"," चेन्नई आणि राजस्थान यांच्यातील सामना कोण जिंकतो, याकडे सर्वांचे लक्ष असेल.
चेन्नईचा शेवट पराभवानेच, राजस्थानने साकारला दमदार विजय
चेन्नईचा शेवट तरी गोड होईल, असे चाहत्यांना वाटत होते. पण यावेळी त्यांचा शेवट हा पराभवानेच झाल्याचे पाहायला मिळाले. मोइन अलीच्या ९३ धावांच्या जोरावर चेन्नईने राजस्थानपुढे १५१ धावांचे आव्हान ठेवले होते. या आव्हानाचा पाच विकेट्स राखून राजस्थानने यशस्वी पाठलाग केला आणि विजय साकारला.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"राजस्थानने अखेरच्या षटकात विजय मिळवल्यामुळे गुणतालिकेत कोणते झाले मोठे बदल, जाणून घ्या",  राजस्थान रॉयल्सच्या संघाने चेन्नई सुपर किंग्सवर अखेरच्या षटकात विजय साकारला आणि गुणतालिकेत मोठा बदल झाल्याचे पाहायला मिळाले. या सामन्यापूर्वी राजस्थानच्या संघाचे १६ गुण होते. या विजयासह राजस्थानच्या संघाने आता १८ गुण झाले आहेत. सध्याच्या घडीला गुणतालिकेत राजस्थान आणि लखनौ या दोन्ही संघांचे समान १८ गुण झाले आहेत. पण राजस्थानने या विजयासह रनरेट चांगला राखल्यामुळे त्यांनी लखनौला पिछाडीवर टाकले असून दुसरे स्थान पटकावले आहे. त्यामुळे आता त्यांचा प्ले ऑफमधील समावेश पक्का झाला आहे.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"छकडा एक्सप्रेस झुलन गोस्वामीने तोडलं वर्ल्ड कप रेकॉर्ड, 39 व्या वर्षी रचला नवा इतिहास", कोणतेही रेकॉर्ड मोडणे आपल्याला वाटते तितके सोपे नसते. पण कष्ट आणि जिद्द याच्या जोरावर स्वत:च्या कामगिरीवर विश्वास ठेवत काम करत राहिलो तर ते तितके अवघडही नसते. महिला टीम इंडियाच्या (Women's Team India) झूलन गोस्वामीने (Jhulan Goswami) आपल्या उत्कृष्ट अशा खेळीने नुकतेच हे सिद्ध करुन दाखवले. झुलनने आपल्या अखेरच्या वर्ल्ड कप स्पर्धेत (Women’s World Cup 2022) इतिहास रचला आहे. त्यामुळे तिच्या नावावर विश्वविक्रमाची नोंद होणार आहे.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"छकडा एक्सप्रेस झुलन गोस्वामीने तोडलं वर्ल्ड कप रेकॉर्ड, 39 व्या वर्षी रचला नवा इतिहास", झुलनने आतापर्यंत झालेल्या वर्ल्ड कप सामन्यांमध्ये विकेट घेतल्या होत्या. सध्या सुरू असलेल्या स्पर्धेत विंडिज विरुद्धच्या सामन्यात तिने एक विकेट घेतली. तिने विंडिजच्या अनिसा मोहम्मदला (Anisa Mohammed) विकेट घेत बाद केले. या विकेटमुळे झुलनने ऑस्ट्रेलियाची माजी गोलंदाज लिन फुलस्टोनच्या (Lyn Fullston) विकेटचे रेकॉर्ड ब्रेक केले आहे. झुलनची वर्ल्ड कपमधील ही ४० वी विकेट ठरली आहे. विशेष म्हणजे झुलनने अवघ्या ३१ सामन्यांमध्ये ही कामगिरी केली आहे.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
अखेर सिलेक्टर्सना युवराजसारखा फलंदाज मिळाला! स्वतःच्या हिमतीवर जिंकून आणेल T20 वर्ल्ड कप," भारतीय क्रिकेट संघ आता 5 सामन्यांच्या T20 मालिकेसाठी दक्षिण आफ्रिकेविरुद्ध मैदानात उतरणार आहे. यानंतर टीम इंडिया 2022 च्या टी-20 वर्ल्ड कपसाठी ऑस्ट्रेलियाला जाईल. गेल्या वर्षी भारतीय संघ साखळी सामन्यांच्या फेरीतच अगदी लाजिरवाण्या पद्धतीने बाहेर पडला होता. मात्र, यावर्षी रोहित शर्मा टीम इंडियाला वर्ल्ड कप मिळवून देण्याच्या निर्धारानेच मैदानात उतरेल. त्याचे हे स्वप्न पूर्ण करण्यासाठी सिलेक्टर्सने अत्यंत स्फोटक माणल्या जाणाऱ्या फलंदाजाला टीम इंडियात संधी दिली आहे.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
अखेर सिलेक्टर्सना युवराजसारखा फलंदाज मिळाला! स्वतःच्या हिमतीवर जिंकून आणेल T20 वर्ल्ड कप," भारतीय संघ दक्षिण आफ्रिकेचा सामना करण्यासाठी सज्ज झाला आहे. या मालिकेसाठी, आयपीएलमध्ये उत्कृष्ट कामगिरी केलेल्या काही खेळाडूंना संधी देण्यात आली आहे. याच खेळाडूंमध्ये एक खेळाडू असाही आहे, जो आगामी वर्ल्ड कपमध्ये टीम इंडियाची नाव तिराला लावू शकेल. ज्या खेळाडूसंदर्भात आपण बोलत आहोत त्याचे नाव आहे दीपक हुड्डा (Deepak Hooda). गेल्या काही दिवसांपासून हुड्डाने जबरदस्त कामगिरी केली आहे.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"प्रो कबड्डीच्या ८व्या पर्वाला उद्यापासून सुरूवात होणार; महाराष्ट्राचे २३ सुपुत्र दम दाखवणार, जाणून घ्या कोण कोणत्या संघाकडून खेळणार"," प्रो कबड्डी लीगच्या ( PKL) २०२१-२२ पर्वाला २२ डिसेंबरपासून बंगळुरू येथे सुरूवात होत आहे. कोरोना संबंधित नियमांमुळे ही लीग प्रेक्षकांविना खेळवण्याचा निर्णय आयोजकांन घेतला आहे. यंदाच्या पर्वाची सुरुवात एकदम दणक्यात होणार आहे. पहिल्या चार दिवसांत ‘Triple Headers’ असे सामने होतील, तर शनिवारी ‘Triple Panga’ रंगणार आहे. यू मुंबा आणि बंगळुरू बुल्स यांच्या लढतीनं प्रो कबड्डीच्या ८व्या पर्वाला सुरुवात होणार. त्यानंतर तेलुगु टायटन्स विरुद्ध तामिळ थलाव्हाज असा दक्षिण डर्बीचा सामना रंगणार आहे.  यूपी योद्धा समोर गतविजेत्या बंगाल वॉरियर्स यांचे आव्हान असणार आहे. हा सर्व मसाला स्पर्धेच्या पहिल्याच दिवशी चाखता येणार आहे.      ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"प्रो कबड्डीच्या ८व्या पर्वाला उद्यापासून सुरूवात होणार; महाराष्ट्राचे २३ सुपुत्र दम दाखवणार, जाणून घ्या कोण कोणत्या संघाकडून खेळणार", २०१४मध्ये सुरुवात झालेल्या पो कबड्डीचे सातपर्व झाले आहेत. पहिल्या पर्वात जयपूर पिंक पँथर्सनं जेतेपद पटकावले होते. त्यानंतर २०१५मध्ये यू मुम्बाने तर पुढील तीन पर्वात पाटना पायरेट्सनं जेतेपदं पटकावली. २०१८ व २०१९मध्ये अनुक्रमे बंगळुरू बुल्स व बंगाल वॉरियर्स यांनी बाजी मारली. १२ संघ एकमेकांविरुद्ध खेळतील आणि त्यानंतर अव्वल सहा संघ प्ले ऑफसाठी पात्र ठरणार आहेत.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
कबड्डी स्पर्धेत पुण्याच्या संघाला विजेतेपद," येथील आबड लोढा जैन महाविद्यालयात क्रीडा विभाग आणि सावित्रीबाई फुले पुणे विद्यापीठाच्या संयुक्त विद्यमाने आंतर विभागीय कबड्डी मुले व मुली स्पर्धांचे आयोजन करण्यात आले होते. अत्यंत चुरशीच्या स्पर्धांमध्ये मुलांच्या गटातून पुणे जिल्हा प्रथम, तर नाशिक जिल्हा द्वितीय क्रमांकाने विजेता ठरला. त्याचप्रमाणे मुलींच्या गटातून पुणे शहर प्रथम तर नाशिक जिल्हा द्वितीय क्रमांकाने विजेता ठरला. या स्पर्धेतून पुणे विद्यापीठाचा संघ निवडण्यात आला.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"आंतरराष्ट्रीय कबड्डीपटू संदीपच्या हत्येप्रकरणी चार आरोपी अटकेत, धक्कादायक कारण आलं समोर"," पंजाबमधील जालंधर येथे आंतरराष्ट्रीय कबड्डीपटू संदीप सिंह याची भर स्पर्धेदरम्यान हत्या झाल्याने खळबळ उडाली होती. दरम्यान, या प्रकरणात पंजाब पोलिसांनी चार आरोपींना अटक केली आहे. पोलियांनी या प्रकरणी कॅनडामध्ये राहणाऱ्या स्नोवर ढिल्लोंसह तीन मुख्य आरोपींविरोधात गुन्हाही दाखल केला आहे. इतर दोन आरोपी हे कॅनडा आणि मलेशिया येथील रहिवासी आहेत.",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
